product_group,partner_group,stat_num,cens_num,total_val,s2,s4,gap_pp
Food & Agriculture,S. Korea,225119242.42487276,211275431,2587502622,8.70025176055156,8.165225774213727,0.5350259863378319
Food & Agriculture,UK,223684363.19771528,230303203,2822740853,7.924367657058714,8.158850386681246,-0.23448272962253203
Food & Agriculture,ROW,12958627724.171846,10477872122,126491610338,10.244653925699037,8.28345223371094,1.9612016919880961
Other Manufactured,China,33953269871.67631,25571389876,101751173009,33.36892231077583,25.13129737947904,8.23762493129679
Other Manufactured,Canada,1987681824.2289429,1068688682,101172843484,1.9646396758071598,1.0562999370171977,0.9083397387899621
Other Manufactured,Mexico,3013444180.362478,1895524937,97197106405,3.1003435100280523,1.950186592079958,1.1501569179480944
Other Manufactured,EU,10233625779.91119,8576706686,177184799414,5.775679298538402,4.840543158535937,0.9351361400024656
Other Manufactured,Japan,1966077067.346575,1667958419,26436551547,7.436964930358641,6.309288925352591,1.1276760050060508
Other Manufactured,S. Korea,884774706.0583191,746301871,14235901211,6.215094449901484,5.24239287656293,0.9727015733385533
Other Manufactured,UK,993818255.1347351,754463945,27267061614,3.644757433725345,2.766942605259043,0.8778148284663021
Other Manufactured,ROW,22324658330.774254,18114558812,350394936620,6.371284512876718,5.169754730686953,1.2015297821897652
Pharmaceuticals,China,870307536.4651461,519962675,5616322807,15.496038357703076,9.25806248800257,6.237975869700506
Pharmaceuticals,Canada,284765732.1688873,72848503,4810433661,5.919751777840541,1.514385357615682,4.405366420224859
Pharmaceuticals,Mexico,74204899.66639212,8954109,1212029885,6.122365511341506,0.7387696550073103,5.383595856334196
Pharmaceuticals,EU,2442183284.783048,121037335,159751579069,1.5287381189066174,0.07576597095651962,1.4529721479500977
Pharmaceuticals,Japan,165416386.93004334,18151684,8595309027,1.9244960990981175,0.21118128438408734,1.71331481471403
Pharmaceuticals,S. Korea,25616460.462346323,14815663,6697823972,0.38245944607435145,0.22120114027983298,0.16125830579451847
Pharmaceuticals,UK,408122210.2193043,24296553,6859958421,5.949339415381048,0.3541793041430447,5.595160111238004
Pharmaceuticals,ROW,2312948088.69521,98278122,59771531524,3.8696483588788326,0.16442296105552942,3.705225397823303
Steel & Aluminum,China,8191240854.207499,7055426007,12756140896,64.21409829971432,55.310035100132836,8.904063199581486
Steel & Aluminum,Canada,6188068299.089573,4864312482,22687081368,27.275735466871502,21.440891417884565,5.8348440489869375
Steel & Aluminum,Mexico,3817709091.2443404,1663052941,12568863457,30.37433817548664,13.231530016135174,17.142808159351464
Steel & Aluminum,EU,6384800606.49346,4646282057,17605703595,36.26552368123894,26.390777465545533,9.874746215693406
Steel & Aluminum,Japan,1169343757.374725,918981290,3202264495,36.516151592116536,28.697857139374115,7.818294452742421
Steel & Aluminum,S. Korea,2340409111.0124435,2011140515,6437843429,36.35393026909918,31.239351145767046,5.114579123332135
Steel & Aluminum,UK,288838075.46764517,228519634,1398142629,20.658698867813804,16.344515163195126,4.314183704618678
Steel & Aluminum,ROW,12021658873.706009,9378579002,36694479081,32.76149212302265,25.558556046803577,7.202936076219071
