year_month,partner_group,stat_num,cens_num,total_val,s2,s4,gap_pp,gap_usd,gap_contrib_pp
2026-01,ROW,11117408986.629929,10035962939,102197671970,10.878338784364315,9.820148292561932,1.0581904918023834,1081446047.6299286,0.4168849303094387
2026-02,China,5766783973.597487,5478989994,18508960905,31.156713784184674,29.601823798330617,1.5548899858540572,287793979.59748745,0.11485901827528448
2026-02,Canada,1543582027.1177177,928658768,28993967085,5.323804164474921,3.202937925939913,2.1208662385350077,614923259.1177177,0.24541681502748178
2026-02,Mexico,2347992594.34711,1634228330,43708043650,5.371991968226905,3.7389647157085695,1.6330272525183358,713764264.3471098,0.28486441167932414
2026-02,EU,3214347532.238705,2991165127,36554370694,8.793332975545672,8.182783810010898,0.6105491655347741,223182405.23870516,0.08907243993737171
2026-02,Japan,1326266210.2185163,1182059336,10594686456,12.518220484641365,11.157095973619628,1.3611245110217371,144206874.21851635,0.057553184484443
2026-02,S. Korea,1074978494.4293175,988538293,11581305421,9.28201489687073,8.535637884201861,0.7463770126688694,86440201.42931747,0.03449841685213601
2026-02,UK,399127775.16512215,279762507,4928569144,8.098248467326812,5.676343352929939,2.421905114396873,119365268.16512215,0.04763886144104625
2026-02,ROW,8249756470.929684,7756751889,95692903048,8.621074508306606,8.105879999386346,0.5151945089202599,493004581.9296837,0.1967588841325258
2026-03,China,4796927104.8899355,4590249216,19889700337,24.11764392430995,23.07852374960595,1.0391201747039993,206677888.8899355,0.06908459031234279
2026-03,Canada,1427162004.3162189,1071319016,34005620435,4.196841539898282,3.1504174965658147,1.046424043332467,355842988.31621885,0.11894483340904148
2026-03,Mexico,2521706300.808259,1738068658,51450166233,4.901259773172207,3.378159460416296,1.5231003127559108,783637642.808259,0.26194038364485583
2026-03,EU,4327851000.098304,3865427641,47703562668,9.072385285389736,8.10301668221725,0.9693686031724855,462423359.0983038,0.15457061462039817
2026-03,Japan,1475466895.073492,1262006725,12687024006,11.629732034681325,9.947224222190851,1.6825078124904742,213460170.07349205,0.07135165003249815
2026-03,S. Korea,1115742886.3353186,1025436329,12548277097,8.891602231210422,8.171929270235497,0.7196729609749255,90306557.33531857,0.030186061748245317
2026-03,UK,449155499.99919516,392795913,6012210893,7.470720970918462,6.533302307431217,0.9374186634872448,56359586.99919516,0.01883887530942282
2026-03,ROW,7655295734.413488,6543291659,114869848605,6.664321253471446,5.696265589676408,0.9680556637950382,1112004075.4134884,0.37170084515672336
