partner_group,product_group,n_flows,n_suspect,n_suspect_strict,val_total,val_suspect,val_suspect_strict,share_suspect_value,share_suspect_strict_value,mean_dln_value,mean_dln_qty,mean_dln_uv,mean_world_dln_uv
ROW,Electronics & Machinery,5328,214,44,11860745540,748487411.5,23118216.166666668,0.06310627008865077,0.0019491368471485366,0.25224665961808407,0.27294431366399263,-0.02069765404590853,0.010708720608789446
ROW,Energy & Minerals,79,5,4,163677367.16666666,9002451,8936372,0.05500119629144043,0.05459748134206253,-0.06877103148956144,0.045702060218033635,-0.11447309170759469,-0.04953658266948033
ROW,Food & Agriculture,3327,162,53,7159117845.333333,295904090.6666667,38751537.666666664,0.04133247937237849,0.005412892831751168,0.12313202359213453,0.1354095337861359,-0.012277510194001412,0.03181825246635454
ROW,Other Manufactured,5554,255,80,11142387299.166666,585216536.3333334,254445995.5,0.05252164734725218,0.0228358599165755,0.3038840800553087,0.35224852800432443,-0.0483644479490157,0.05044093205307457
ROW,Pharmaceuticals,120,9,0,975459828.8333334,281596158.6666667,0,0.2886804257264602,0,-0.23101532526555515,-0.28491199619970725,0.053896670934151174,0.2679744236623245
ROW,Steel & Aluminum,1438,83,3,2062073015,173319956.5,657278.6666666667,0.08405131886176204,3.1874655353397697e-4,0.07455908574109178,0.12598774634561455,-0.05142866060452265,0.004855743971625357
S. Korea,Apparel & Textiles,154,7,0,94081112.16666667,3212956.8333333335,0,0.03415092316980174,0,0.14633563327184396,0.22146428283450287,-0.07512864956265891,0.03810006114347007
S. Korea,Autos & Auto Parts,85,7,1,3009243654.5,6300941.666666667,1199132.6666666667,0.0020938622425087736,3.984830755972495e-4,-0.17098467261834302,-0.10373899758083126,-0.06724567503751083,-0.002427026074603509
S. Korea,Chemicals & Plastics,351,20,11,880610432.5,24944718,17308431,0.02832662103398372,0.019655037416332222,0.19411830175857042,0.1908893418451579,0.003228959913412387,0.010273731493824136
S. Korea,Electronics & Machinery,739,35,3,2202547642,142452807.16666666,5068027.833333334,0.06467637950265352,0.002300984431252241,0.10138870975943846,0.27355725951334875,-0.17216854975391027,-0.06983259082173215
S. Korea,Energy & Minerals,5,0,0,3961633.3333333335,0,0,0,0,0.3254116291644383,0.2847099567410263,0.04070167242341269,-0.003974718247669934
S. Korea,Food & Agriculture,112,9,3,158520035,2760922.6666666665,1130573.6666666667,0.01741686889399606,0.007132055368689937,0.1903663771859689,0.15749896245982167,0.03286741472614736,0.09111983865648184
S. Korea,Other Manufactured,432,17,2,518058772.5,29396089,2037020.3333333333,0.05674276850509273,0.0039320255566820525,0.08264625541784132,0.09734089271140231,-0.014694637293561102,-0.080354425856232
S. Korea,Pharmaceuticals,7,0,0,8873653.666666666,0,0,0,0,-0.032422306187647014,0.5483628262902651,-0.5807851324779124,0.5840756258440798
S. Korea,Steel & Aluminum,243,15,0,356620574,20727110.833333332,0,0.058120905927691466,0,-0.1307803479481515,-0.03877568189182775,-0.09200466605632358,-0.04467114448159267
UK,Apparel & Textiles,84,2,0,28653523.5,834613,0,0.029127761547371303,0,0.138468277397112,0.18888153776555136,-0.050413260368439565,0.12413833366552393
UK,Autos & Auto Parts,75,2,0,667602041.5,4204434.666666667,0,0.006297815772432246,0,-0.2966289656458802,-0.3165229384957969,0.019893972849915696,-0.11197404139035282
UK,Chemicals & Plastics,265,11,4,281904895.5,11924607.333333334,6600057.666666666,0.042300107318758266,0.02341235562781018,0.11398915994630433,0.14887317887199367,-0.03488401892568944,-0.10057635102299509
UK,Electronics & Machinery,703,35,2,1214323866.3333333,192575052.3333333,620768.6666666666,0.15858623689478837,5.112051931755947e-4,0.10309567468276551,0.27006213820843866,-0.1669664635256738,-0.1254331475632007
UK,Energy & Minerals,3,0,0,2004564.6666666665,0,0,0,0,0.44760593395302195,-0.22181926305830346,0.6694251970113261,-0.19154838039119393
UK,Food & Agriculture,104,9,4,167132149.16666666,54035457.666666664,5055125.333333334,0.3233097757438738,0.03024627732329516,0.1197331526902365,0.3486064435063182,-0.2288732908160814,0.009951967437536059
UK,Other Manufactured,525,27,2,734838680.3333334,41117368.333333336,2986515.3333333335,0.05595427871962579,0.004064178183949989,0.06975588046336703,0.14800648500545827,-0.07825060454209111,-0.09446382226216361
UK,Pharmaceuticals,15,0,0,223074002.33333334,0,0,0,0,0.39551123365744595,0.5761054050457987,-0.18059417138835465,0.576675265273562
UK,Steel & Aluminum,117,8,0,81393712,21081141,0,0.25900208360075777,0,-0.18962068150311703,-0.14372717105623023,-0.04589351044688717,0.012445554225934167
