hs2,stat_num,cens_num,total_val,s2,s4,gap_pp,gap_usd
82,3132082207.240853,2590141513,13535066123,23.140501707032946,19.13652648211743,4.003975224915518,541940694.2408528
03,2525422690.5636997,2052997357,24772926300,10.194284922099412,8.287262199621528,1.9070227224778833,472425333.5636997
96,2114771239.0923808,1705923652,9779135810,21.62533868207298,17.444523576976483,4.180815105096496,408847587.09238076
48,2242434691.5372686,1864876714,22952567639,9.769864212172157,8.124915448811414,1.644948763360743,377557977.53726864
38,2701722772.575932,2336042420,26489630091,10.199171386292244,8.818705327235518,1.380466059056726,365680352.575932
70,2092788560.542041,1749779865,10612472679,19.72008431817458,16.487956369136015,3.232127949038567,343008695.54204106
44,1883933320.320006,1547677871,25691859035,7.33280265065103,6.024001100471552,1.3088015501794779,336255449.3200059
42,4001433905.411627,3690083583,16485798151,24.272005933597498,22.383408732783533,1.8885972008139653,311350322.4116268
33,2491526082.2238164,2180187885,24579857677,10.136454470015915,8.86981492590194,1.2666395441139748,311338197.2238164
09,1417795381.751534,1111021685,19068440048,7.4352982109841745,5.826494890002971,1.6088033209812034,306773696.751534
69,1575658671.088083,1288939043,8404730342,18.74728405281754,15.335876233398377,3.411407819419164,286719628.088083
49,521060530.4011458,239993782,6185579565,8.423794810586125,3.879891600747682,4.543903209838444,281066748.4011458
21,967920532.7600503,1247883088,14009479284,6.909040037380238,8.907419488640004,-1.9983794512597663,-279962555.2399497
10,515936265.34286183,250989929,3694575601,13.96469638361751,6.793471188735866,7.171225194881643,264946336.34286183
19,684281400.7384003,946883728,19115487757,3.579722418999326,4.953489756771996,-1.3737673377726702,-262602327.26159966
08,1231676684.8615391,993387569,30205139520,4.077705663455049,3.2888031135967424,0.7889025498583067,238289115.86153913
28,1129545341.4187624,935750878,23640236923,4.778062694963129,3.9582973768320895,0.8197653181310396,193794463.41876245
24,633512768.7970996,440744401,4203907436,15.06961745570412,10.484160455715609,4.585456999988512,192768367.7970996
68,1408702120.2719133,1217817843,10797650188,13.046376718496386,11.278545070421206,1.7678316480751803,190884277.2719133
20,1755197288.6579318,1569962417,18454323177,9.511035825174396,8.507287977684689,1.0037478474897075,185234871.6579318
07,627362178.9029909,467562454,17514560116,3.5819465333296012,2.669564356188824,0.9123821771407772,159799724.90299094
22,1546074111.356748,1391066379,31627265506,4.888421703935937,4.3983137863629125,0.49010791757302474,155007732.3567481
16,1099384990.797508,944704240,8630571845,12.738263588344045,10.94602138730009,1.7922422010439547,154680750.797508
