hs10,cty_code,partner_group,product_group,hs2,event_ym,event_drate,V_pre,V_post,Q_pre,Q_post,uv_pre,uv_post,dln_value,dln_qty,dln_uv,world_dln_uv,dln_uv_excess,n_ctrl,bucket,suspect,suspect_strict,lumpy,classify_ok
9615196000,5700,China,Other Manufactured,96,783,0.9580107526881719,7315738.666666667,5664396.333333333,24915323.666666668,22249577.666666668,0.2936240670416871,0.2545844428238061,-0.25582768104720444,-0.11315999532580179,-0.14266768572140376,-0.08690382540666237,-0.055763860314741384,1,B1_real_contraction,FALSE,FALSE,FALSE,TRUE
7616995190,5830,ROW,Steel & Aluminum,76,785,0.22499999999999992,6094036.666666667,5661920.333333333,434768,374749,14.01675529631129,15.108566889660368,-0.07354758121279659,-0.148556086949025,0.07500850573622753,NA,NA,NA,B3_quantity_driven,FALSE,FALSE,FALSE,TRUE
2007994800,3370,ROW,Food & Agriculture,20,783,0.08666666666666667,3247907.6666666665,5658967.333333333,2283550.3333333335,4200123.333333333,1.4223061428760564,1.3473336100447844,0.5552304314830252,0.6093824943508483,-0.054152062867824924,0.24704496322544112,-0.30119702609326604,2,B4_real_expansion,FALSE,FALSE,FALSE,TRUE
8443995011,5650,ROW,Electronics & Machinery,84,783,0.08666666666666667,3887706.6666666665,5658540.666666667,276783.6666666667,439414.6666666667,14.046011867270586,12.877450608536812,0.37534658829028267,0.462207323948034,-0.08686073565775043,NA,NA,NA,B4_real_expansion,FALSE,FALSE,FALSE,TRUE
3004909259,5830,ROW,Pharmaceuticals,30,788,0.13709677419354838,3355040.3333333335,5658100,11845,23254.333333333332,283.24527930209655,243.31379097802562,0.5226243546036677,0.6745856569843518,-0.15196130238068317,NA,NA,NA,B4_real_expansion,FALSE,FALSE,FALSE,TRUE
3502200000,6141,ROW,Chemicals & Plastics,35,783,0.08666666666666667,5654942,5655218.333333333,648914,661918.3333333334,8.714470638636245,8.543679859801435,4.8864618227284495e-5,0.019841988414869505,-0.019793123796641776,-0.5474195297684648,0.527626405971823,1,B6_mixed,FALSE,FALSE,FALSE,TRUE
8414904190,5330,ROW,Electronics & Machinery,84,788,0.22918993769501222,7139141.666666667,5655186.666666667,698460.3333333334,624960,10.221255704809769,9.048877794845538,-0.23301943621280152,-0.11119074104018267,-0.12182869517261885,0.07738975700519823,-0.19921845217781708,2,B1_real_contraction,FALSE,FALSE,FALSE,TRUE
3926904590,5880,Japan,Chemicals & Plastics,39,783,0.08666666666666667,5449653.333333333,5654964.666666667,118932001.33333333,127537312,0.0458215894144375,0.044339688346784874,0.03698186330124109,0.06985705250062679,-0.03287518919938481,NA,NA,NA,B6_mixed,FALSE,FALSE,FALSE,TRUE
3602000060,4550,EU,Chemicals & Plastics,36,783,0.08666666666666667,7156087.5,5652113,735032,538021.5,9.735749600017414,10.505366421230379,-0.23593393552783049,-0.3120155134915059,0.07608157796367543,-0.5145316288600181,0.5906132068236936,2,B1_real_contraction,FALSE,FALSE,FALSE,TRUE
8538908180,5830,ROW,Electronics & Machinery,85,783,0.08666666666666668,4345813,5644312.666666667,11196884.666666666,38134786,0.38812697722408146,0.14800955397171148,0.26143557768227765,1.2254912991106757,-0.964055721428398,NA,NA,NA,B4_real_expansion,FALSE,FALSE,FALSE,TRUE
8502200060,5700,China,Electronics & Machinery,85,783,0.9580107526881718,10395858.333333334,5643310.666666667,26919,16171.333333333334,386.19036120707807,348.9700292699015,-0.6109365987201745,-0.50959222956911,-0.10134436915106537,NA,NA,NA,B1_real_contraction,FALSE,FALSE,FALSE,TRUE
8415200000,4280,EU,Electronics & Machinery,84,784,0.14207930107526878,4276987.333333333,5641562.666666667,19071,25691.666666666668,224.26654781256008,219.58725916315277,0.276912228028527,0.29799782848172285,-0.02108560045319674,NA,NA,NA,B4_real_expansion,FALSE,FALSE,FALSE,TRUE
2205106000,4759,EU,Food & Agriculture,22,783,0.08666666666666667,7305015.666666667,5634870.666666667,2720169.6666666665,2088799.3333333333,2.685500009864581,2.697660123088256,-0.25958699441121524,-0.26410483657327966,0.004517842162066077,NA,NA,NA,B1_real_contraction,FALSE,FALSE,FALSE,TRUE
8406904580,4280,EU,Electronics & Machinery,84,783,0.08666666666666667,1097118.3333333333,5634824,14628.666666666666,146693,74.99783530055143,38.412357781216556,1.6362788682171647,2.305358893636818,-0.6690800254196536,NA,NA,NA,B4_real_expansion,FALSE,FALSE,FALSE,TRUE
