ym,partner_group,nbothpos,valbothpos,nbothzero,valbothzero,nimpfriction,valimpfriction,ntrackermiss,valtrackermiss,n_total,val_total,pct_n_bothzero,pct_val_bothzero,pct_n_bothpos,pct_val_bothpos,pct_n_trackermiss,pct_val_trackermiss,pct_n_impfriction,pct_val_impfriction
2025m8,UK,4661,2691060746,214,1592962606,266,181589354,450,730096671,5591,5195709377,3.827580039348954,30.6591937773043,83.36612412806296,51.79390436872004,8.048649615453407,14.05191510964683,4.75764621713468,3.494986744328829
2025m9,Canada,3805,15940732484,2278,4167842580,1954,11531980866,26,286305508,8063,31926861438,28.25251147215677,13.05434481273298,47.19087188391418,49.92890552350697,.3224606225970482,.8967543162862647,24.23415602133201,36.11999534747378
2025m9,China,10381,21843198652,44,1271261548,157,11961523,2,170391867,10584,23296813590,.4157218442932729,5.456804395540515,98.08201058201058,93.76045598517406,.018896447467876,.7313955891081154,1.483371126228269,.0513440301773046
2025m9,EU,14123,9448293396,679,1975822528,1685,502019383,1172,2831434476,17659,14757569783,3.845064839458633,13.38853589753003,79.97621609377654,64.02336926018791,6.636842403307096,19.18631941189717,9.541876663457726,3.401775430384899
2025m9,Japan,5155,7900370810,186,818634572,273,269041398,443,1253171136,6057,10241217916,3.070827142149579,7.993527515131141,85.10813934290903,77.14288353982917,7.313851741786364,12.2365439958284,4.507181773155027,2.627044949211292
2025m9,Mexico,3255,37937863341,1894,2680748313,1324,3441600974,27,223032620,6500,44283245248,29.13846153846154,6.053640147615588,50.07692307692307,85.67091939295804,.4153846153846154,.5036501248970071,20.36923076923077,7.771790334529369
2025m9,ROW,90084,54671781892,5310,23319633274,6566,7705755913,7223,52248010890,109183,137945181969,4.863394484489344,16.90500019003241,82.50735004533672,39.63297674599917,6.615498749805372,37.87592298927957,6.013756720368556,5.586100074688865
2025m9,S. Korea,4017,6704170840,174,1117689894,190,179411040,308,1668666609,4689,9669938383,3.710812539987205,11.5583972692621,85.66858605246321,69.3300264641407,6.568564725954361,17.25622793971013,4.052036681595223,1.855348326887059
2025m9,UK,4911,2391700286,230,1635345070,281,207526472,435,955115734,5857,5189687562,3.926925046952365,31.51143590944368,83.84838654601332,46.08563150337874,7.427010414888167,18.40410858244264,4.79767799214615,3.99882400473495
2025m10,Canada,3933,19707911256,2268,4104112425,1934,6987930155,31,323800865,8166,31123754701,27.77369581190301,13.18643095740674,48.16311535635563,63.32112383396592,.3796228263531717,1.040365688878779,23.6835660053882,22.45207951974856
2025m10,China,10456,21849250137,45,1359884992,161,28065068,2,174102794,10664,23411302991,.4219804951237809,5.808668541527911,98.04951237809453,93.32778335917271,.018754688672168,.7436698165280688,1.509752438109528,.1198782827713137
2025m10,EU,14733,9727798414,679,3148074481,1699,621727240,1174,2203711293,18285,15701311428,3.713426305715067,20.04975505030789,80.57424118129614,61.95532429636743,6.420563303254033,14.03520529546432,9.291769209734756,3.959715357860361
2025m10,Japan,5402,9208152770,203,1121537527,304,250801439,465,1300936231,6374,11881427967,3.184813304047693,9.439416963306158,84.75054910574208,77.50038796325768,7.295262001882648,10.94932557444507,4.769375588327581,2.110869498991089
2025m10,Mexico,3350,41665737089,1986,2970017848,1307,3617641266,32,246350469,6675,48499746672,29.75280898876404,6.123780126288079,50.187265917603,85.90918499179413,.4794007490636704,.5079417644509547,19.58052434456929,7.45909311746683
2025m10,ROW,91886,53550628887,5347,23700103452,6666,6639362045,7051,46832726624,110950,130722821008,4.819287967552952,18.13004284121867,82.81748535376295,40.96501932414907,6.355114916629113,35.82597610950724,6.00811176205498,5.078961725125013
2025m10,S. Korea,4063,5868003835,163,1194451225,183,154179543,305,1582028012,4714,8798662615,3.457785320322444,13.57537249994896,86.19007212558337,66.69199731554885,6.470089096308867,17.98032361535208,3.882053457785321,1.752306569150112
