hs2,n_flows,n_suspect,n_suspect_strict,val_total,val_suspect,val_suspect_strict,share_suspect_value,share_suspect_strict_value,mean_dln_value,mean_dln_qty,mean_dln_uv,mean_world_dln_uv
55,16,0,0,3719818.1666666665,0,0,0,0,-0.3943746734109833,-0.4061235268518495,0.011748853440865875,-0.10823521033782134
22,8,0,0,2831189.3333333335,0,0,0,0,-0.5580437234457083,0.1554707468052867,-0.7135144702509949,0.042968723437367906
26,3,1,0,2823656.5,1529782.5,0,0.5417735832952769,0,-0.3751699718341518,-0.07788742235863566,-0.2972825494755165,0.2672085343071154
24,3,0,0,1681996.3333333333,0,0,0,0,-0.3406957145411916,-1.8130120471458178,1.4723163326046276,NA
14,3,0,0,1480987.3333333333,0,0,0,0,-0.12967085777429427,0.24731352132002324,-0.3769843790943175,-0.331755966582194
50,3,0,0,1204905.3333333333,0,0,0,0,0.7327050421467421,0.43321661912951787,0.2994884230172245,NA
04,2,1,0,1111223.6666666667,919051,0,0.827062118607385,0,-0.08705796747387982,0.05709091805984661,-0.1441488855337274,0.9365453458021256
18,2,0,0,1015750,0,0,0,0,0.6854044853426045,0.4659133948085129,0.2194910905340926,0.036848813682275286
52,9,0,0,1005456.6666666666,0,0,0,0,-0.2483765532411541,-0.34105468161018193,0.09267812836902817,-0.039517495587446216
43,2,0,0,989946,0,0,0,0,0.7227890821031585,0.9079035009408593,-0.18511441883770005,NA
45,2,0,0,948412,0,0,0,0,-0.18635108945668624,-0.1479892287507686,-0.038361860705917815,0.6373262172764087
37,4,1,0,926961.6666666666,33333,0,0.03595941579748893,0,-0.4773612694198977,-0.23913749278963706,-0.23822377663026195,NA
80,2,0,0,735947.6666666666,0,0,0,0,0.19761432957795871,0.36165654363716243,-0.16404221405920344,-0.4251070509360323
31,3,1,1,633882.1666666666,337674.3333333333,337674.3333333333,0.5327083661448119,0.5327083661448119,-0.0401509105079254,0.09999769023955238,-0.14014860074747768,0.1846701692842117
11,3,1,0,556254,130013.33333333333,0,0.23373015444982567,0,-1.0633527816687596,-0.7030057070194724,-0.36034707464928717,0.01642408391160734
01,1,1,0,554072,554072,0,1,0,-1.0527674295628913,-0.030886200334425237,-1.0218812292284678,0.18930286631193027
53,4,0,0,490559,0,0,0,0,-0.5051139316809142,-0.13611480837738843,-0.36899912330352685,0.8862088000097311
02,2,0,0,341508,0,0,0,0,-0.030533569764393555,-0.263864032908271,0.23333046314387842,0.2273150218071854
78,1,0,0,93994,0,0,0,0,-0.31403817083214136,0.48468662024780507,-0.7987247910799451,-0.11008453203431977
41,1,0,0,57722.5,0,0,0,0,-0.629787362076124,-0.39853714451572664,-0.23125021756039565,NA
10,1,0,0,2659,0,0,0,0,-7.374373860478709,-7.457881841827922,0.083507981349211,0.20758177770248742
